name,gender,count
Mary,F,3747982
Patricia,F,1569661
Elizabeth,F,1560365
Jennifer,F,1468240
Linda,F,1448868
Barbara,F,1425056
Margaret,F,1137587
Susan,F,1109965
Dorothy,F,1055071
Jessica,F,1045846
Sarah,F,1037333
Nancy,F,985740
Karen,F,985072
Betty,F,984999
Lisa,F,963761
Helen,F,900727
Sandra,F,872286
Emily,F,855451
Ashley,F,850534
Kimberly,F,840411
Donna,F,827000
Carol,F,812505
Michelle,F,812138
Amanda,F,775497
Anna,F,754771
Melissa,F,753349
Laura,F,752827
Stephanie,F,740573
Rebecca,F,740066
Ruth,F,738348
Deborah,F,737805
Sharon,F,719753
Cynthia,F,706019
Kathleen,F,705167
Amy,F,686398
Shirley,F,680576
Angela,F,664246
Emma,F,641204
Virginia,F,625603
Catherine,F,617795
Katherine,F,615219
Brenda,F,605479
Pamela,F,591978
Nicole,F,589285
Samantha,F,581550
Christine,F,575981
Evelyn,F,575251
Rachel,F,558157
Janet,F,551122
Carolyn,F,549862
Debra,F,547801
Maria,F,543213
Frances,F,534376
Heather,F,523003
Diane,F,515192
Julie,F,506294
Joyce,F,504512
Victoria,F,501364
Olivia,F,500661
Alice,F,495737
Martha,F,492966
Joan,F,476063
Christina,F,471930
Kelly,F,470860
Lauren,F,470453
Marie,F,465081
Ann,F,450955
Judith,F,448823
Doris,F,448525
Grace,F,446804
Jean,F,446171
Hannah,F,437120
Megan,F,436997
Andrea,F,436901
Cheryl,F,436868
Kathryn,F,435550
Rose,F,429191
Julia,F,426650
Jacqueline,F,422001
Sara,F,418605
Gloria,F,410382
Teresa,F,407596
Janice,F,402734
Madison,F,399101
Mildred,F,394976
Lillian,F,388969
Theresa,F,388272
Abigail,F,387293
Charlotte,F,385870
Sophia,F,379145
Judy,F,378506
Beverly,F,374210
Denise,F,369899
Amber,F,369497
Marilyn,F,369052
Danielle,F,367589
Isabella,F,366683
Natalie,F,361692
Jane,F,361654
Diana,F,360179
Brittany,F,358062
Kayla,F,340756
Alexis,F,339662
Lori,F,339043
Tiffany,F,336414
Kathy,F,330979
Ruby,F,330246
Tammy,F,329605
Crystal,F,327410
Taylor,F,324973
Bonnie,F,319221
Lois,F,317422
Phyllis,F,317179
Erin,F,313002
Alyssa,F,309775
Irene,F,309286
Anne,F,307537
Allison,F,306711
Ava,F,301086
Shannon,F,292868
Peggy,F,288537
Eleanor,F,288493
Audrey,F,288115
Robin,F,287754
Tina,F,286937
Dawn,F,285650
Louise,F,283406
Annie,F,282642
Ella,F,278645
Rita,F,277318
Wanda,F,276157
Josephine,F,275192
Paula,F,274845
Norma,F,268761
Jamie,F,266985
Leslie,F,265358
Mia,F,262333
Valerie,F,262062
Connie,F,262043
Wendy,F,259390
Marjorie,F,258972
Brianna,F,257243
Vanessa,F,256236
Courtney,F,255634
Elaine,F,255580
Cindy,F,254200
Melanie,F,252153
Ellen,F,251038
Jasmine,F,251003
Tracy,F,247949
Florence,F,247804
Monica,F,246053
April,F,238413
Alexandra,F,236972
Sheila,F,235211
Leah,F,233375
Sylvia,F,229451
Erica,F,228913
Eva,F,228481
Sherry,F,227044
Hazel,F,226420
Edna,F,226369
Alicia,F,224749
Caroline,F,224524
Chloe,F,224362
Carrie,F,223115
Katie,F,221879
Esther,F,221434
Michele,F,220843
Clara,F,218773
Gladys,F,217774
Morgan,F,217667
Amelia,F,217090
Kristen,F,216342
Edith,F,215811
Suzanne,F,215474
Veronica,F,213826
Joanne,F,208228
Anita,F,207816
Vivian,F,206468
Dolores,F,206150
Rhonda,F,205664
Jill,F,205373
Geraldine,F,204405
Lorraine,F,203678
Lucille,F,203123
Thelma,F,201816
Darlene,F,200865
Holly,F,200405
Pauline,F,200353
Juanita,F,198394
Gail,F,197869
Sally,F,195390
Ethel,F,195086
Brooke,F,192707
June,F,192344
Claire,F,191641
Dana,F,189211
Madeline,F,185676
Debbie,F,184876
Lucy,F,184068
Eileen,F,181845
Renee,F,181638
Lynn,F,178195
Savannah,F,177926
Kristin,F,176941
Kim,F,176821
Jo,F,175448
Regina,F,172932
Tara,F,172816
Sydney,F,169936
Hailey,F,169474
Cathy,F,167430
Cassandra,F,166871
Molly,F,165599
Roberta,F,164693
Kaitlyn,F,164225
Naomi,F,164140
Marion,F,163643
Bernice,F,163605
Beatrice,F,163513
Loretta,F,162895
Annette,F,162705
Laurie,F,162680
Stacy,F,160851
Chelsea,F,159888
Colleen,F,159199
Stella,F,158719
Jeanne,F,158387
Lydia,F,158208
Lily,F,157257
Haley,F,156220
Jeanette,F,155316
Beth,F,154964
Lindsey,F,154920
Rosemary,F,154530
Joann,F,153100
Sofia,F,152627
Yvonne,F,151014
Vicki,F,150777
Gina,F,149598
Rosa,F,148514
Destiny,F,147689
Kelsey,F,147169
Carla,F,146067
Stacey,F,145289
Avery,F,144854
Jenna,F,144757
Shelby,F,144599
Heidi,F,143968
Terri,F,143415
Nora,F,143137
Violet,F,142517
Paige,F,140981
Maureen,F,139846
Georgia,F,138037
Faith,F,137991
Arlene,F,137905
Sabrina,F,137698
Sue,F,137535
Elsie,F,137386
Bertha,F,137015
Zoe,F,136512
Carmen,F,134874
Joy,F,134432
Addison,F,134211
Kristina,F,134030
