name,count
Elaine,255580
Clara,218773
Cathy,167430
Roberta,164693
Naomi,164140
Stella,158719
Jeanne,158387
Rosemary,154530
Vicki,150777
Heidi,143968
Violet,142517
Melinda,132024
Charlene,129703
Marcia,128659
Vera,122150
Gertrude,119860
Gwendolyn,116392
Agnes,115642
Delores,114242
Sadie,111360
Miranda,110670
Maxine,107788
Cora,105910
Glenda,105387
Genevieve,104407
Lena,103913
Melody,101623
Marsha,101220
Margie,99357
Nellie,98734
Viola,98345
Bethany,97063
Arianna,96668
Penny,95359
Camila,92572
Dianne,92345
Jennie,90785
Leona,89492
Myrtle,87081
Gianna,84249
Scarlett,83420
Becky,83383
Sherri,81490
Kristine,81137
Jacquelyn,80893
Penelope,80846
Desiree,80190
Mabel,76557
Lola,76349
Sheryl,76272
Lynda,74392
Kristi,74213
Marguerite,73876
Harriet,73649
Rebekah,71341
Krista,71165
Kate,70999
Antoinette,70593
Bella,69880
Rosalie,69670
Belinda,68850
Ada,68465
Kristy,67993
Hattie,62586
Susie,62508
Faye,61765
Nichole,61675
Lila,61484
Jeannette,61288
Sonya,61024
Marianne,59875
Mila,59461
Annabelle,58467
Sheri,58164
Adeline,57809
Angie,57700
Marcella,57253
Mya,57221
Maryann,56789
Tabitha,56067
Blanche,55136
Roxanne,55101
Luna,54954
Celeste,54475
Mikayla,53947
Myra,53772
Eloise,52928
Dianna,52272
Beulah,51235
Lana,50690
Aimee,50122
Traci,50111
Allyson,49873
Paisley,49114
Flora,48959
Eliza,48875
Bernadette,48477
Kellie,48430
Gretchen,47921
Nadine,47838
Cecelia,47753
Mamie,47247
Della,47125
Emilia,46267
Erma,46057
Rosemarie,45780
Marisa,45729
Anastasia,45480
Janis,44979
Delilah,44959
Shelia,44847
Julianna,44722
Adrianna,44418
Valentina,44353
Aubree,44140
Khloe,43588
Celia,43436
Lora,43349
Paulette,43338
Betsy,43305
Willow,43177
Shawna,43026
Alaina,42793
Doreen,42504
Jana,42020
Patti,41947
Ginger,41804
Olive,41662
Teri,41304
Corinne,40868
Leila,40726
Mable,40003
Brielle,39844
Estelle,39734
Meagan,39734
Mindy,39560
Mona,39501
Kyla,39042
Darla,38961
Lynette,38924
Ernestine,38792
Serena,38700
Leilani,38376
Shari,37901
Athena,37700
Laila,37503
Tricia,37223
Trisha,37100
Henrietta,36496
Stacie,36487
Tami,35880
Kristie,35771
Noelle,35673
Amaya,35566
Kira,35473
Kimberley,35163
Sonja,35115
Marla,34881
Isla,34526
Alina,34447
Kerri,34400
Lyla,34246
Stefanie,34149
Clarissa,34136
Kyra,33968
Bonita,33858
Tammie,33560
Cheri,33390
Lorene,33381
Tasha,33273
Freda,33069
Daphne,33045
Marina,32851
Sherrie,32369
Bette,32113
Katharine,32075
Mollie,32065
Deloris,31775
Jeannie,31753
Bettie,31615
Ximena,31496
Francine,31450
Pam,31340
Alisa,31228
Adele,31141
Melba,30974
Alivia,30270
Sallie,30226
Makenna,30220
Tracie,30131
Therese,30126
Rachelle,30034
Everly,29983
Lucinda,29933
Keira,29923
Charity,29814
Jolene,29733
Janine,29716
Chelsey,29609
Alayna,29589
Aileen,29519
Ryleigh,29482
Sienna,29445
Christa,29285
Reba,29243
Katelynn,29172
Trina,29051
Daniella,28924
Phoebe,28919
Harmony,28844
Helena,28694
Fiona,28508
Nettie,28507
Rena,28359
Lottie,28114
Juliet,27984
Myrna,27793
Izabella,27642
Angeline,27614
Estella,27602
Aniyah,27517
Talia,27430
Lenora,27362
Lela,27348
Juliette,27316
Debora,27156
Shana,26948
Dina,26928
Janette,26867
Dorothea,26696
Lea,26548
Dena,26546
Cherie,26218
Brenna,26081
Angelique,26072
Helene,26017
Alyson,25824
Gwen,25813
Adalynn,25753
Carissa,25670
Etta,25629
Shanna,25491
Norah,25464
Leanne,25414
May,25354
Julianne,25275
Cathleen,25273
Candy,25108
Lara,25046
Shauna,25044
Malia,24975
Ayla,24739
Karin,24561
Brynn,24552
Adalyn,24433
Lexi,24406
Elaina,24348
Lucile,24257
Willa,24207
Evangeline,24178
Sondra,23849
Imogene,23754
Jayne,23653
Ashlynn,23347
Staci,23330
Julissa,23325
Iva,23186
Ina,23144
Eugenia,22899
Lorna,22876
Polly,22835
Lizbeth,22742
Adelaide,22736
Raelynn,22591
Chasity,22287
Jenifer,22150
Rosetta,21939
Elsa,21906
Viviana,21905
Susanne,21861
Trudy,21779
Nia,21680
Rosalind,21355
Aisha,21337
Eve,21240
Effie,21235
Luella,21040
Bettye,20804
Matilda,20751
Jeannine,20640
Lizzie,20581
Leann,20548
Glenna,20517
Arabella,20508
Greta,20492
Ericka,20441
Raegan,20403
Bridgette,20275
Leola,20179
Maddison,20137
Alanna,20131
Bobbi,20050
Elvira,20039
Margo,19974
Larissa,19940
Jeanine,19932
Camilla,19903
Colette,19854
Keisha,19840
Alessandra,19823
Kaylie,19802
Nayeli,19677
Lia,19655
Emely,19654
Leanna,19547
Sheena,19523
Deana,19494
Nyla,19448
Lorie,19279
Madilyn,19273
Tonia,19068
Jayda,18964
Jeri,18961
Kiera,18897
Angelia,18890
Carmela,18853
Noemi,18731
Kassidy,18618
Madalyn,18602
Maci,18542
Elliana,18521
Clarice,18507
Brianne,18368
Christi,18294
Adelyn,18294
Yasmin,18280
Lilliana,18262
Sarai,17962
Mara,17911
Macie,17869
Ladonna,17836
Kyleigh,17730
Bernadine,17674
Nell,17622
Alta,17533
Mikaela,17421
Tabatha,17363
Karissa,17352
Bryanna,17345
Alexus,17317
Kelsie,17222
Nola,17139
Terrie,17123
Rosalyn,17111
Kinley,17039
Dulce,17027
Katlyn,17024
Amie,16997
Rhoda,16996
Ruthie,16919
Nelda,16885
Gemma,16840
Danna,16795
Elyse,16793
Dorthy,16752
Lenore,16550
Brynlee,16302
Noreen,16280
Annika,16224
Aniya,16215
Lilah,16038
Amira,15984
Samara,15895
Maeve,15885
Ila,15882
Melisa,15845
Anahi,15714
Fernanda,15713
Winnie,15652
Maura,15607
Claudette,15598
Gia,15551
Amiyah,15403
Madisyn,15301
Carmella,15285
Vivienne,15278
Joselyn,15260
Addyson,15254
Katy,15251
Nathalie,15236
Elinor,15234
Elnora,15230
Saundra,15137
Annmarie,15122
Harriett,15083
Frieda,15069
Anya,15013
Paulina,15012
Madelynn,14994
Elle,14990
Lorrie,14935
Malinda,14917
Ophelia,14818
Melina,14765
Abbey,14738
Destinee,14689
Chandra,14624
Lilian,14565
Liana,14495
Kaleigh,14387
Valarie,14350
Kamila,14296
Corrine,14289
Sybil,14285
Earnestine,14228
Ariella,14195
Nannie,14189
Reyna,14149
Deja,14088
Carley,14040
Eleanore,13909
Earline,13907
Cornelia,13905
Kimberlee,13902
Jazlyn,13847
Kierra,13794
Shania,13787
Bailee,13774
Dolly,13761
Selina,13750
Magdalena,13736
Dona,13676
Charlee,13675
Jimena,13671
Brandie,13666
Bria,13620
Arline,13584
Anaya,13572
Felicity,13550
Ayanna,13549
Amina,13516
Deirdre,13467
Myla,13459
Halle,13423
Roslyn,13406
Nanette,13404
Suzette,13401
Shayna,13374
Ilene,13363
Kaelyn,13325
Cheyanne,13267
Elissa,13241
Aleah,13220
Neva,13169
Nicolette,13144
Zara,13127
Estrella,13084
Luann,12990
Lavonne,12968
Anika,12958
Cecile,12920
Margot,12915
Kaia,12913
Maude,12884
Maia,12847
Roseann,12797
Danica,12776
Annabella,12750
Letha,12750
Flossie,12725
Gillian,12715
Nataly,12715
Aylin,12632
Tiffani,12605
Kennedi,12526
Jaqueline,12503
Casandra,12486
Rosalinda,12485
Jerri,12464
Annalise,12450
Jeanie,12450
Susanna,12385
Kathie,12343
Melany,12325
Rhiannon,12291
Evie,12290
Everleigh,12280
Lyndsey,12279
Kiersten,12275
Aubrie,12269
Maliyah,12264
Mariam,12258
Odessa,12235
Chaya,12204
